"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"Jomala";"2 vuotta";0
"2022";"Jomala";"3 vuotta";0
"2022";"Jomala";"4 vuotta";0
"2022";"Jomala";"5 vuotta";0
"2022";"Jomala";"6 vuotta";0
"2022";"Jomala";"7 vuotta ja yli";0
"2022";"Joroinen";"Yhteensä";11
"2022";"Joroinen";"0 vuotta";0
"2022";"Joroinen";"1 vuotta";2
"2022";"Joroinen";"2 vuotta";0
"2022";"Joroinen";"3 vuotta";1
"2022";"Joroinen";"4 vuotta";3
"2022";"Joroinen";"5 vuotta";2
"2022";"Joroinen";"6 vuotta";3
"2022";"Joroinen";"7 vuotta ja yli";0
"2022";"Joutsa";"Yhteensä";0
"2022";"Joutsa";"0 vuotta";0
"2022";"Joutsa";"1 vuotta";0
"2022";"Joutsa";"2 vuotta";0
"2022";"Joutsa";"3 vuotta";0
"2022";"Joutsa";"4 vuotta";0
"2022";"Joutsa";"5 vuotta";0
"2022";"Joutsa";"6 vuotta";0
"2022";"Joutsa";"7 vuotta ja yli";0
"2022";"Juuka";"Yhteensä";3
"2022";"Juuka";"0 vuotta";0
"2022";"Juuka";"1 vuotta";1
"2022";"Juuka";"2 vuotta";1
"2022";"Juuka";"3 vuotta";1
"2022";"Juuka";"4 vuotta";0
"2022";"Juuka";"5 vuotta";0
"2022";"Juuka";"6 vuotta";0
"2022";"Juuka";"7 vuotta ja yli";0
"2022";"Juupajoki";"Yhteensä";0
"2022";"Juupajoki";"0 vuotta";0
"2022";"Juupajoki";"1 vuotta";0
"2022";"Juupajoki";"2 vuotta";0
"2022";"Juupajoki";"3 vuotta";0
"2022";"Juupajoki";"4 vuotta";0
"2022";"Juupajoki";"5 vuotta";0
"2022";"Juupajoki";"6 vuotta";0
"2022";"Juupajoki";"7 vuotta ja yli";0
"2022";"Juva";"Yhteensä";6
"2022";"Juva";"0 vuotta";0
"2022";"Juva";"1 vuotta";0
"2022";"Juva";"2 vuotta";0
"2022";"Juva";"3 vuotta";1
